Date,Description,Debit,Credit,Balance
01/07/2025,Opening Balance,,,15000.00
02/07/2025,WOOLWORTHS 0042 MOSMAN,187.45,,14812.55
03/07/2025,OPAL TOP UP,50.00,,14762.55
04/07/2025,MEDICARE BULK BILL,,,14762.55
05/07/2025,NETFLIX.COM,23.99,,14738.56
07/07/2025,SHELL COLES EXPRESS NEUTRAL BAY,82.50,,14656.06
08/07/2025,COLES SUPERMARKETS CREMORNE,145.20,,14510.86
09/07/2025,PAY CREDIT - EMPLOYER,4200.00,,18710.86
10/07/2025,SALARY CREDIT - PARTNER,2800.00,,21510.86
11/07/2025,MCDONALD'S NORTH SYDNEY,32.50,,21478.36
12/07/2025,SPOTIFY AUSTRALIA,11.99,,21466.37
14/07/2025,BUPA HEALTH INSURANCE,480.00,,20986.37
15/07/2025,WOOLWORTHS METRO MILSONS POINT,94.30,,20892.07
16/07/2025,UBER EATS ORDER,45.80,,20846.27
17/07/2025,BP FUEL CROWS NEST,95.00,,20751.27
18/07/2025,SWIMMING LESSONS JULY,180.00,,20571.27
19/07/2025,COLES SUPERMARKETS MOSMAN,212.60,,20358.67
21/07/2025,MEDICARE REBATE,,38.50,20397.17
22/07/2025,RESTAURANT NORTH SYDNEY - SAKE,148.00,,20249.17
23/07/2025,AMPOL FUEL WAVERTON,88.40,,20160.77
24/07/2025,WOOLWORTHS 0042 MOSMAN,176.90,,19983.87
25/07/2025,DOORDASH ORDER,38.20,,19945.67
26/07/2025,STAN ENTERTAINMENT,16.00,,19929.67
28/07/2025,HOME LOAN REPAYMENT CBA,4200.00,,15729.67
28/07/2025,IGA LOCAL GROCER,68.45,,15661.22
29/07/2025,TRANSPORT NSW OPAL,30.00,,15631.22
30/07/2025,CALTEX SERVICE STATION,74.50,,15556.72
31/07/2025,COUNCIL RATES Q1,620.00,,14936.72
31/07/2025,ELECTRICITY BILL AGL,245.80,,14690.92
